id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,last_updated,quote_usd_price,quote_usd_volume_24h,quote_usd_volume_change_24h,quote_usd_percent_change_1h,quote_usd_percent_change_24h,quote_usd_percent_change_7d,quote_usd_percent_change_30d,quote_usd_percent_change_60d,quote_usd_percent_change_90d,quote_usd_market_cap,quote_usd_market_cap_dominance,quote_usd_fully_diluted_market_cap,quote_usd_tvl,quote_usd_last_updated,platform_id,platform_name,platform_symbol,platform_slug,platform_token_address
4066,Chiliz,CHZ,chiliz,251,2019-07-01T00:00:00Z,8888888888,6000378771,8888888888,62,2022-07-12T00:19:00Z,0.107843086,159996605.6,24.2576,2.29396679,0.57277565,5.19304427,3.14155086,12.08597246,-52.5426304,647099363.4,0.0728,958605208.2,,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0x3506424f91fd33084466f402d5d97f05f8e3b4af
6719,The Graph,GRT,the-graph,219,2020-12-17T00:00:00Z,10057044431,6900000000,10000000000,63,2022-07-12T00:20:00Z,0.091938291,37635897.52,21.8483,0.21614789,-7.81240661,-6.77904222,-25.83470199,-31.39947137,-75.4084341,634374207.4,0.0713,924627476.7,,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0xc944e90c64b2c07662a292be6244bdf05cda44a7
3513,Fantom,FTM,fantom,339,2018-10-29T00:00:00Z,3175000000,2545006273,2545006273,64,2022-07-12T00:19:00Z,0.244291496,126705308,3.0241,0.27063464,-8.03789945,-7.93519477,-12.57313171,-17.22399262,-78.94201486,621723390.4,0.0699,775625500.6,,2022-07-12T00:19:00Z,,,,,
1376,Neo,NEO,neo,247,2016-09-08T00:00:00Z,100000000,70538831,100000000,65,2022-07-12T00:19:00Z,8.336068987,41657817.7,1.1359,-0.08180086,-9.62733375,-3.21598263,-23.69480044,-13.87361573,-59.10137016,588016561.5,0.0661,833606898.7,,2022-07-12T00:19:00Z,,,,,
4705,PAX Gold,PAXG,pax-gold,76,2019-09-26T00:00:00Z,,333660.582,333660.582,66,2022-07-12T00:20:00Z,1735.264176,15546279.62,54.3506,0.05850941,-0.31394473,-4.26953191,-7.67692723,-5.53430815,-11.8609105,578989254.8,0.0651,578989254.8,,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0x45804880de22913dafe09f4980848ece6ecbaf78
1697,Basic Attention Token,BAT,basic-attention-token,312,2017-06-01T00:00:00Z,1500000000,1497691558,1500000000,67,2022-07-12T00:19:00Z,0.373928264,57008550.26,27.0252,-0.10748435,-7.76076208,-9.4442131,10.97882855,4.96765178,-48.10392963,560029204.8,0.063,560892396.5,,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0x0d8775f648430679a709e98d2b0cb6250d2887ef
1934,Loopring,LRC,loopring,213,2017-08-30T00:00:00Z,1374513896,1330088530,1373873437,68,2022-07-12T00:19:00Z,0.393727913,122177182.1,134.6592,-1.32878102,1.66334942,-1.83853271,-10.95585444,0.99222697,-56.63394396,523692980.9,0.0589,541184487.6,162474361.4,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd
1274,Waves,WAVES,waves,193,2016-06-02T00:00:00Z,,108768154,108768154,69,2022-07-12T00:19:00Z,4.695952933,141080506.6,1.2547,0.34896836,-7.50719581,-14.58610432,-26.377716,-28.47984082,-78.87258117,510770131.8,0.0574,510770131.8,,2022-07-12T00:19:00Z,,,,,
18069,STEPN,GMT,green-metaverse-token,120,2022-03-09T12:47:15Z,6000000000,600000000,6000000000,70,2022-07-12T00:19:00Z,0.838286047,337343248.5,27.8922,0.48575289,-11.13224747,-6.52592022,4.43091208,-26.10638322,-62.38526004,502971628.2,0.0566,5029716282,,2022-07-12T00:19:00Z,1839,BNB,BNB,bnb,0x3019BF2a2eF8040C242C9a4c5c4BD4C81678b2A1
4847,Stacks,STX,stacks,55,2019-10-28T00:00:00Z,1818000000,1322457835,1352464600,71,2022-07-12T00:20:00Z,0.377775488,11348609.58,-48.8669,0.13930869,-6.87610137,-6.85118262,-19.86772832,-24.89407932,-67.42884947,499592154.6,0.0562,686795837.8,,2022-07-12T00:20:00Z,,,,,
